1:Shuffled,2:Ascended,3:Descended
TESTCASENAME,TOTALTIME,TOTALTIMEIT
testcase_1000_1,0.001722,0.001722838031128049
testcase_1000_2,0.001328,0.0013297050027176738
testcase_1000_3,0.001426,0.0014293160056695342
testcase_10000_1,0.025943,0.025949645088985562
testcase_10000_2,0.014753,0.014761742088012397
testcase_10000_3,0.016125,0.016133118886500597
testcase_100000_1,0.315699,0.31569679302629083
testcase_100000_2,0.180862,0.1808643569238484
testcase_100000_3,0.18893,0.18893192091491073
